,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
33704,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.41,AngularJS; C#; Java; JavaScript; Python; SQL; SQL Server; Visual Basic,Android; AngularJS; Java; JavaScript; Python; Ruby,Yes,7.0,Employed full-time,Software Products,5-9 employees,1-4 people,"I am not on a ""team""",I rarely work remotely,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Eclipse; IntelliJ; Komodo; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Windows 7,Yes,1,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Mentorship program (e.g. Flatiron School, GDI, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Office location; Quality of colleagues; Company culture; Flexible work hours,Taking time off work to interview,10%,Offer remote interviews (e.g. via video conference); interview_coffee; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Neutral,Neutral,Agree somewhat,Neutral,Neutral,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,Poor team dynamics; Poor scheduling; Unrealistic expectations; Poor documentation; Outdated technologies; Limited resources; Trying to be nice,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
33772,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,20-24,22.0,Male,Developer; Engineer,Student,Student,Less than 1 year,0.5,"$10,000 - $20,000",15000.0,3.41,C; C++; JavaScript; PHP; SQL,"Android; Arduino / Raspberry Pi; C; C++; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; PHP; SQL",Yes,7.0,Other (please specify),Other (please specify),5-9 employees,5-9 people,3,Never,I love my job,A friend referred me,Atom; Notepad++; Visual Studio,A few times a month,None,Other (please specify),Windows 7,Yes,2 - 100,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Health insurance; Industry; Tech stack; Company size; Quality of colleagues; Company culture; Building something that's significant,Searching for a job that seems interesting,40%,Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Agree completely,Agree completely,Neutral,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Poor scheduling; Poor documentation; Outdated technologies; Changing requirements; Unspecific requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
33948,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Full-stack Developer,Front-end web developer,Front-end web developer,6 - 10 years,8.0,,,3.41,JavaScript; PHP; SQL; Visual Basic,Java; JavaScript,Yes,8.0,Employed full-time,Gaming,10-19 employees,1-4 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,A friend referred me,Atom; Notepad++; Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 10,I don't know,"501 - 1,000",Multiple times a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34246,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,20-24,22.0,Male,Developer; Engineer; Full-stack Developer,Student,Student,2 - 5 years,3.5,Rather not say,,3.41,C; C++; C#; Java; JavaScript; MongoDB; PHP; WordPress,AngularJS; JavaScript; MongoDB; Node.js,Yes,7.0,Self-employed,I'm a student,Other (please specify),Other (please specify),Other (please specify),Full-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Notepad++,A couple times a week,2-5 hours per week,Cats,Windows 7,Yes,2 - 100,Once a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)",I am actively looking for a new job,Salary; Work/life balance; Quality of colleagues,Finding an open job that I'm qualified for,40%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree somewhat,Disagree completely,Neutral,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Poor documentation; Outdated technologies; Interacting with non-technical people,To give help to others; Beacause I love to learn
34313,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer; Hacker,Back-end web developer,Back-end web developer,2 - 5 years,3.5,Rather not say,,3.41,AngularJS; JavaScript; MongoDB; Node.js; ReactJS; Swift; WordPress,AngularJS; Go; JavaScript; MongoDB; Node.js; ReactJS; Redis; Ruby; Rust; Swift; WordPress,Other (please specify),8.0,Employed full-time,Other (please specify),500-999 employees,5-9 people,3,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Atom; Sublime; Eclipse; Visual Studio Code,Multiple times a day,20+ hours per week,Cats,Mac OS X,Other (please specify),101 - 500,Multiple times a day,To keep my skills up to date,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Equity; Ability to make or influence important decisions; Health insurance; Tech stack; Company financials; Work/life balance; Opportunity for advancement; Job title; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Flexible work hours; Building something that's innovative,Writing cover letters,80%,Offer remote interviews (e.g. via video conference); interview_coffee; Show me the space in which I will work,,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Outdated technologies; Interacting with non-technical people; Interacting with stupid people; Changing requirements; Unspecific requirements,To give help to others; To communicate with others like me
34330,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Male,Developer; Engineer; Manager; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$30,000 - $40,000",35000.0,3.41,AngularJS; C; JavaScript; MongoDB; Node.js; Redis,"Android; AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; MongoDB; Node.js; Redis",Other (please specify),10.0,Self-employed,Internet,5-9 employees,1-4 people,0,I rarely work remotely,I love my job,Self-employed - I created my own job,IntelliJ; Visual Studio Code,Multiple times a day,5-10 hours per week,Cats,Mac OS X,Yes,"501 - 1,000",Multiple times a day,To build a specific product I have in mind,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Company financials; Quality of colleagues; Company culture; Building something that's significant,Writing cover letters,30%,Offer remote interviews (e.g. via video conference); Introduce me to the team; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Neutral,Disagree somewhat,Agree completely,Neutral,Disagree somewhat,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,Poor scheduling; Unspecific requirements; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
34607,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Engineer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,3.41,Android; C#; JavaScript; Matlab; SQL; SQL Server; Visual Basic,Android; C#; Java; JavaScript; MATLAB; MongoDB; SQL; SQL Server; Visual Basic,Yes,7.0,Employed full-time,Software Products,500-999 employees,5-9 people,1,Never,I love my job,Contacted by external recruiter,Notepad++; Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 7,Yes,I don't have an account,Once a day,I'm curious,"I'm self-taught; Full-time, intensive program (e.g. ""boot-camp""); Industry certification program",I am not interested in new job opportunities,Salary; Equity; Company financials; Work/life balance; Job title; Office location; Company culture; Company reputation; Building something that's significant,The interview process,70%,Introduce me to the team; interview_coffee; Show me the space in which I will work,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Agree completely,Agree completely,Disagree somewhat,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,Poor scheduling; Unrealistic expectations; Poor documentation; Non-technical management,To get help for my job; Beacause I love to learn
34609,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Male,Engineer; Sr. Developer; Expert,Enterprise level services developer,Enterprise level services developer,6 - 10 years,8.0,"$30,000 - $40,000",35000.0,3.41,AngularJS; C#; JavaScript; Redis; SQL; SQL Server,C#; Hadoop; MongoDB; R; SQL; SQL Server,Yes,8.0,Employed full-time,Other (please specify),500-999 employees,5-9 people,1,I rarely work remotely,I love my job,LinkedIn,Notepad++; Visual Studio; Xamarin,Multiple times a day,5-10 hours per week,Cats,Windows 7,Yes,2 - 100,Multiple times a day,I want to be a better developer,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)",I am actively looking for a new job,Salary; Industry; Company financials; Job title; Office location; Company culture,Finding time to search for a job,70%,Introduce me to the boss; interview_coffee; Show me the space in which I will work,Star Wars; Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Neutral,,Agree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Poor scheduling; Poor documentation; Outdated technologies; Interacting with non-technical people; Poor infrastructure or equipment; Limited resources,To get help for my job; Beacause I love to learn
34808,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Engineer; Programmer; Rockstar,Enterprise level services developer,Enterprise level services developer,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.41,Android; C++; C#; Java; JavaScript; MongoDB; SQL; SQL Server; Visual Basic,"C#; Cloud (AWS, GAE, Azure, etc.); F#; JavaScript; MongoDB; Node.js",No,8.0,Employed full-time,Finance / Banking,"1,000-4,999 employees",5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Eclipse; Visual Studio,Multiple times a day,10-20 hours per week,Cats,Windows 7,Yes,"1,001 - 5,000",Once a day,To keep my skills up to date,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Equity; Quality of colleagues,Taking time off work to interview,30%,Show me more live code; Introduce me to the team; Show me the space in which I will work,,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Neutral,Neutral,Neutral,Agree somewhat,Neutral,Agree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Poor scheduling; Outdated technologies; Unspecific requirements,To get help for my job; To give help to others; To communicate with others like me; Beacause I love to learn
35561,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,< 20,16.0,Male,Developer; Engineer; Programmer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",2 - 5 years,3.5,"Less than $10,000",5000.0,3.41,Android; Arduino / Raspberry Pi; C; C++; C#; Java; JavaScript; PHP; Python; Visual Basic,C++; JavaScript; MATLAB; Node.js; Objective-C; PHP; Ruby; Visual Basic,Yes,7.0,I'm a student,,,,,,,,Coda; Notepad++; Sublime; Android Studio; Eclipse; IntelliJ; NetBeans; Visual Studio,I never check-in or commit code,10-20 hours per week,Other (please specify),Windows 7,Yes,2 - 100,Multiple times a day,Other (please specify),"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Company size; Work/life balance; Opportunity for advancement; Job title; Office location,Interesting companies rarely respond to me,40%,Introduce me to the boss; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree somewhat,Agree completely,Disagree somewhat,Disagree completely,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,Inefficient development processes; Poor documentation; Outdated technologies; Interacting with non-technical people; Poor infrastructure or equipment,To give help to others; To discover new job opportunities; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
36510,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Engineer; Programmer; Full-stack Developer; Full Stack Overflow Developer,Business intelligence or data warehousing expert,Business intelligence or data warehousing expert,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.41,AngularJS; C#; Cordova; Hadoop; Java; JavaScript; R; Spark; SQL,Cassandra; Hadoop; Java; Python; R; Scala; Spark; SQL,No,10.0,Employed full-time,Telecommunications,"10,000+ employees",5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Notepad++; Sublime; Eclipse; IntelliJ,A few times a month,5-10 hours per week,Cats,Windows 8,No,I don't have an account,Multiple times a day,I want to be a better developer,Part-time program (e.g. night school); B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Flexible work hours,The interview process,20%,Show me more live code; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Agree completely,Agree completely,Agree completely,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Corporate policies; Non-technical management,To get help for my job; To receive help on my personal projects; Beacause I love to learn
36655,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Male,Developer; Programmer; Sr. Developer; Full-stack Developer,Back-end web developer,Back-end web developer,11+ years,13.0,"$20,000 - $30,000",25000.0,3.41,C#,C++; C#,Yes,7.0,Employed full-time,Software Products,100-499 employees,10-14 people,2,I rarely work remotely,I'm neither satisfied nor dissatisfied,Contacted by external recruiter,Notepad++; Visual Studio,Once a day,2-5 hours per week,Dogs,Windows 8,Yes,"501 - 1,000",Multiple times a day,I'm curious,I'm self-taught; Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Company financials; Work/life balance; Opportunity for advancement; Job title; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant,Searching for a job that seems interesting,0%,Show me more live code; interview_coffee,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Outdated technologies; Interacting with non-technical people; Interacting with stupid people; Unspecific requirements,To give help to others; Beacause I love to learn
36992,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,20-24,22.0,Male,Developer; Engineer; Programmer; Sr. Developer,Front-end web developer,Front-end web developer,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.41,AngularJS; JavaScript; MongoDB; Node.js; WordPress,Android; Cordova; iOS; Objective-C; ReactJS; Swift,No,7.0,Employed full-time,Web Services,5-9 employees,1-4 people,0,Part-time remote,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Atom; Sublime; Vim,Multiple times a day,20+ hours per week,Dogs,Fedora,Yes,"501 - 1,000",Once a day,To keep my skills up to date,On-the-job training; B.S. in Computer Science (or related field),I am actively looking for a new job,Salary; Equity; Flexible work hours; Building something that's innovative,Interesting companies rarely respond to me,70%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree somewhat,Disagree completely,Neutral,Agree somewhat,Disagree somewhat,Disagree somewhat,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Unrealistic expectations; Outdated technologies; Interacting with non-technical people; Limited resources,To get help for my job; To give help to others; Because I can't do my job without it; To demonstrate that I'm good at what I do; To receive help on my personal projects; Beacause I love to learn
37184,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,20-24,22.0,Male,Developer; Engineer,Student,Student,1 - 2 years,1.5,"$20,000 - $30,000",25000.0,3.41,"Android; C++; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; SQL; Swift; Windows Phone",Android; MongoDB; Node.js; Swift,Yes,5.0,Employed full-time,Software Products,"1,000-4,999 employees",10-14 people,3,I rarely work remotely,I'm neither satisfied nor dissatisfied,Contacted by external recruiter,Notepad++; Android Studio; IntelliJ; Visual Studio; Xcode,A couple times a week,2-5 hours per week,Dogs,Windows 10,No,2 - 100,Multiple times a day,To keep my skills up to date,Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Company size; Company financials; Office location,Writing cover letters,70%,Be more flexible about interview scheduling,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,Poor team dynamics; Poor scheduling; Limited resources,To get help for my job; To give help to others
37337,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Prefer not to disclose,Engineer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",1 - 2 years,1.5,,,3.41,Python,Python,,2.0,I'm a student,,,,,,,,Notepad++,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",5-10 hours per week,,Windows 7,,2 - 100,Multiple times a day,To pursue career goals,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Work/life balance,Finding an open job that I'm qualified for,,interview_coffee,Star Trek,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,,,Agree somewhat,Neutral,Agree completely,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,Poor documentation,To get help for my job; Because I can't do my job without it
37949,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Male,Engineer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,3.41,"Cloud (AWS, GAE, Azure, etc.); Java; Scala",Haskell; Scala,Yes,8.0,Employed full-time,Software Products,100-499 employees,5-9 people,1,Never,I'm somewhat satisfied with my job,LinkedIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37966,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Programmer; Sr. Developer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,3.41,"C; Cloud (AWS, GAE, Azure, etc.); Haskell; Java; Redis","Android; AngularJS; Cloud (AWS, GAE, Azure, etc.); Hadoop; Haskell; Java; JavaScript; Node.js; Redis",No,7.0,Employed full-time,Finance / Banking,100-499 employees,5-9 people,0,Never,I'm somewhat dissatisfied with my job,A friend referred me,Sublime; Vim; IntelliJ,Once a day,1-2 hours per week,Dogs,Mac OS X,Yes,2 - 100,Once a day,To keep my skills up to date,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Tech stack; Company size; Company stage; Work/life balance; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Flexible work hours,Writing cover letters,40%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Introduce me to the team; interview_coffee; Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,Poor team dynamics; Inefficient development processes; Corporate policies; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; To discover new job opportunities; To demonstrate that I'm good at what I do; To communicate with others like me; Beacause I love to learn
37970,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Engineer; Full-stack Developer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,3.41,"C++; Cloud (AWS, GAE, Azure, etc.); Java; Redis",Android; Hadoop; Java,Yes,9.0,Employed full-time,Finance / Banking,100-499 employees,5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,LinkedIn,Notepad++; Sublime; Vim; IntelliJ; Xcode,Multiple times a day,None,Cats,Mac OS X,Yes,1,Multiple times a day,To build a specific product I have in mind,I'm self-taught; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Health insurance; Tech stack; Company size; Company financials; Work/life balance; Opportunity for advancement; Job title; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Building something that's innovative,Writing cover letters,30%,Fewer brainteasers,Star Wars,Agree somewhat,Neutral,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Neutral,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,Poor scheduling; Poor documentation; Unspecific requirements,To get help for my job; Beacause I love to learn
37972,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Male,Developer; Engineer,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$30,000 - $40,000",35000.0,3.41,Android; Java,Android; Java,Yes,7.0,Employed full-time,Internet,100-499 employees,1-4 people,1,Never,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Sublime; Android Studio,Multiple times a day,None,Dogs,Mac OS X,Yes,101 - 500,Once a day,To keep my skills up to date,On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Opportunity for advancement; Company culture; Building something that's innovative,Taking time off work to interview,0%,Introduce me to the team; Fewer brainteasers,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Neutral,Agree somewhat,Agree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Poor scheduling; Interacting with non-technical people; Unspecific requirements,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
38051,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Engineer,other,,11+ years,13.0,Rather not say,,3.41,C; C++; C#; SQL Server,Node.js; Python; Redis,Other (please specify),6.0,Employed full-time,Other (please specify),5-9 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Android Studio; IntelliJ; PyCharm; Visual Studio,Once a day,2-5 hours per week,Cats,Windows 10,I don't know,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,
38604,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,25-29,27.0,Male,Developer; Programmer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,3.41,C#; Java; SQL,C#; Java; SQL,No,7.0,Employed full-time,Finance / Banking,100-499 employees,10-14 people,2,Full-time remote,Other (please specify),"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 10,Yes,2 - 100,Multiple times a day,I'm curious,On-the-job training,I am actively looking for a new job,Salary; Office location; Remote working option,Taking time off work to interview,80%,Offer remote interviews (e.g. via video conference),Star Wars,Agree completely,Agree somewhat,Agree somewhat,Neutral,Agree completely,Disagree completely,Neutral,Agree completely,Neutral,Neutral,This is very important,I don't care about this,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,Poor scheduling,To get help for my job; To communicate with others like me; Beacause I love to learn
39382,Meta Stack Overflow Post,Turkey,Western Asia,Middle East,30-34,32.0,Male,Developer; Engineer; Programmer; Rockstar,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.41,Android; Arduino / Raspberry Pi; C; C++; C#; Java; Matlab; SQL; SQL Server,Android; Arduino / Raspberry Pi; Python,Yes,6.0,Employed full-time,Defense,"5,000-9,999 employees",1-4 people,0,Never,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Eclipse; NetBeans; Visual Studio,Once a day,1-2 hours per week,Dogs,Windows 8,Yes,1,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Part-time program (e.g. night school); Some college coursework in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Equity; Work/life balance; Opportunity for advancement; Quality of colleagues; Building something that's significant,Finding an open job that I'm qualified for,70%,Show me more live code; Introduce me to the boss; interview_coffee; Fewer brainteasers,,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Disagree somewhat,Agree completely,Agree somewhat,Neutral,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Fragile code base; Corporate policies; Non-technical management; Interacting with stupid people; Changing requirements; Trying to be nice,To get help for my job; To receive help on my personal projects; Beacause I love to learn
